indicator,country,year,sex,measure,age_lo,age_hi,slope,ratio,q1,q2,q3,q4,q5,n_deaths,ranking,source,groups,linked_share
AMR,Brazil,2010,male,mx,15,29,-1.4057,2.98,3.589,3.49,2.827,1.907,1.204,6876,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,male,mx,30,44,-1.545,3.424,5.204,4.686,3.36,2.507,1.52,7328,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,male,mx,45,59,-0.7734,1.842,8.562,9.793,8.542,7.374,4.649,11251,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,male,mx,60,74,-0.1277,1.052,19.188,25.02,24.258,22.577,18.232,16459,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,male,45q15,15,59,-0.9861,2.192,229.9,237.0,198.8,162.5,104.9,25455,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,female,mx,15,29,-0.9875,2.189,0.942,0.799,0.737,0.529,0.431,1881,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,female,mx,30,44,-1.2342,2.794,2.322,1.76,1.543,1.141,0.831,3312,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,female,mx,45,59,-0.9662,2.259,5.761,5.303,4.859,3.972,2.55,6896,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,female,mx,60,74,-0.249,1.231,14.907,15.05,14.015,13.922,12.111,12161,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,Brazil,2010,female,45q15,15,59,-0.9846,2.281,126.9,111.5,101.7,81.3,55.6,12089,asset_index,"IBGE Census 2010 sample microdata, household deaths module",5,1.0
AMR,South Africa,2001,all,mx,15,29,-0.9141,1.974,6.834,7.045,6.142,5.249,3.462,5939,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,all,mx,30,44,-1.1682,2.546,15.708,14.803,14.352,11.747,6.17,8504,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,all,mx,45,59,-0.8608,1.947,17.832,18.266,17.632,14.921,9.157,5750,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,all,mx,60,74,-0.3189,1.28,27.563,29.911,32.43,28.859,21.526,5489,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,all,45q15,15,59,-0.786,1.854,456.784,454.618,437.91,382.265,246.372,20193,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,male,mx,15,29,-0.793,1.839,6.879,6.489,5.613,5.095,3.741,2835,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,male,mx,30,44,-1.1332,2.559,19.229,16.09,14.975,13.283,7.515,4564,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,male,mx,45,59,-0.8161,1.943,24.411,23.396,22.644,20.41,12.567,3558,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,male,mx,60,74,-0.5093,1.474,41.508,42.444,46.657,37.842,28.153,2983,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,male,45q15,15,59,-0.7005,1.773,534.897,501.461,480.206,443.745,301.67,10957,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,female,mx,15,29,-1.0329,2.123,6.793,7.59,6.661,5.397,3.2,3104,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,female,mx,30,44,-1.2173,2.566,12.802,13.553,13.767,10.36,4.989,3940,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,female,mx,45,59,-0.94,2.017,12.455,13.48,13.299,10.366,6.176,2192,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,female,mx,60,74,-0.2086,1.193,19.668,22.312,23.819,23.216,16.48,2506,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2001,female,45q15,15,59,-0.893,1.973,383.385,406.986,398.921,325.433,194.288,9236,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,1.0
AMR,South Africa,2007,all,mx,15,29,-1.2085,2.354,13.265,10.208,9.76,5.635,,2421,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,all,mx,30,44,-1.2545,2.41,35.673,28.633,27.514,14.804,,4353,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,all,mx,45,59,-1.2122,2.247,33.196,30.715,26.798,14.773,,2693,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,all,mx,60,74,-0.565,1.405,41.133,43.702,36.069,29.268,,1963,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,all,45q15,15,59,-0.8015,1.731,713.95,652.717,622.075,412.413,,9467,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,male,mx,15,29,-1.1804,2.308,12.275,9.171,8.358,5.319,,1071,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,male,mx,30,44,-1.1519,2.274,37.594,29.538,29.751,16.534,,2207,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,male,mx,45,59,-1.0554,2.053,40.364,38.828,39.687,19.664,,1603,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,male,mx,60,74,-0.5859,1.469,56.023,56.465,53.79,38.124,,1061,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,male,45q15,15,59,-0.6813,1.604,747.931,693.329,694.671,466.325,,4881,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,female,mx,15,29,-1.2399,2.402,14.231,11.245,11.094,5.924,,1350,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,female,mx,30,44,-1.3438,2.534,33.95,27.75,25.565,13.396,,2146,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,female,mx,45,59,-1.395,2.51,27.046,23.305,16.922,10.775,,1090,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,female,mx,60,74,-0.6153,1.412,31.938,35.694,25.686,22.623,,902,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2007,female,45q15,15,59,-0.9193,1.868,681.579,611.503,555.949,364.866,,4586,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",4,1.0
AMR,South Africa,2011,all,mx,30,44,-1.4501,3.466,1.497,1.542,1.18,1.085,0.432,988,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,0.101
AMR,South Africa,2011,all,45q15,15,59,-1.1385,2.634,49.861,55.382,49.126,41.776,18.93,2245,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,0.101
AMR,South Africa,2011,male,45q15,15,59,-0.9866,2.382,52.104,60.633,60.788,50.931,21.874,1193,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,0.101
AMR,South Africa,2011,female,45q15,15,59,-1.3021,2.931,47.309,50.98,40.05,34.203,16.142,1048,asset_index,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Statistics South Africa",5,0.101
