indicator,country,year,measure,index,slope,ratio,q1,q2,q3,q4,q5,n_mothers,ranking,groups,asset_vars,source,dhs_check
CHMORT_CENSUS,Brazil,1991,prop_dead_2529,common,-1.7565,4.408,0.10569,0.08494,0.04189,0.02398,,499641,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,1991,prop_dead_agestd,common,-1.645,4.044,0.11534,0.09568,0.05094,0.02852,,2640891,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,1991,prop_dead_all,common,-1.4419,3.406,0.13819,0.12389,0.07316,0.04057,,2640891,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,1991,prop_dead_2529,full,-1.7565,4.408,0.10569,0.08494,0.04189,0.02398,,499641,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,1991,prop_dead_agestd,full,-1.645,4.044,0.11534,0.09568,0.05094,0.02852,,2640891,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,1991,prop_dead_all,full,-1.4419,3.406,0.13819,0.12389,0.07316,0.04057,,2640891,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,2000,prop_dead_2529,common,-1.4073,3.032,0.06028,0.05152,0.03074,0.01988,,571935,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,2000,prop_dead_agestd,common,-1.4815,3.206,0.07015,0.06117,0.03661,0.02188,,3509617,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,2000,prop_dead_all,common,-1.4763,3.167,0.09142,0.08404,0.05247,0.02887,,3509617,asset_index,4,ELECTRIC REFRIG TV RADIO,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",
CHMORT_CENSUS,Brazil,2000,prop_dead_2529,full,-1.4495,3.2,0.06232,0.04274,0.02828,0.01948,,571935,asset_index,4,ELECTRIC REFRIG TV RADIO BATH,"IPUMS International (Ruggles et al., doi:10.18128/D020.V7.7); original data: Instituto Brasileiro de Geografia e Estatistica (IBGE)",Brazil 1996 DHS U5MR tilt -1.4634
