country,region
Afghanistan,South & Southeast Asia
Albania,North Africa/West Asia/Europe
Angola,Sub-Saharan Africa
Armenia,North Africa/West Asia/Europe
Azerbaijan,North Africa/West Asia/Europe
Bangladesh,South & Southeast Asia
Benin,Sub-Saharan Africa
Bolivia,Latin America & Caribbean
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,South & Southeast Asia
Cameroon,Sub-Saharan Africa
Cape Verde,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Colombia,Latin America & Caribbean
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Congo Democratic Republic,Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Dominican Republic,Latin America & Caribbean
Ecuador,Latin America & Caribbean
Egypt,North Africa/West Asia/Europe
El Salvador,Latin America & Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guatemala,Latin America & Caribbean
Guinea,Sub-Saharan Africa
Guyana,Latin America & Caribbean
Haiti,Latin America & Caribbean
Honduras,Latin America & Caribbean
India,South & Southeast Asia
Indonesia,South & Southeast Asia
Jordan,North Africa/West Asia/Europe
Kazakhstan,Central Asia
Kenya,Sub-Saharan Africa
Kyrgyz Republic,Central Asia
Lao People's Democratic Republic,South & Southeast Asia
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Maldives,South & Southeast Asia
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mexico,Latin America & Caribbean
Moldova,North Africa/West Asia/Europe
Morocco,North Africa/West Asia/Europe
Mozambique,Sub-Saharan Africa
Myanmar,South & Southeast Asia
Namibia,Sub-Saharan Africa
Nepal,South & Southeast Asia
Nicaragua,Latin America & Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Nigeria (Ondo State),Sub-Saharan Africa
Pakistan,South & Southeast Asia
Papua New Guinea,Oceania
Paraguay,Latin America & Caribbean
Peru,Latin America & Caribbean
Philippines,South & Southeast Asia
Rwanda,Sub-Saharan Africa
Samoa,Oceania
Sao Tome and Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Sri Lanka,South & Southeast Asia
Sudan,Sub-Saharan Africa
Tajikistan,Central Asia
Tanzania,Sub-Saharan Africa
Thailand,South & Southeast Asia
Timor-Leste,South & Southeast Asia
Togo,Sub-Saharan Africa
Trinidad and Tobago,Latin America & Caribbean
Tunisia,North Africa/West Asia/Europe
Turkey,North Africa/West Asia/Europe
Turkmenistan,Central Asia
Uganda,Sub-Saharan Africa
Ukraine,North Africa/West Asia/Europe
Uzbekistan,Central Asia
Vietnam,South & Southeast Asia
Yemen,North Africa/West Asia/Europe
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
