indicator,country,year,slope,ratio,q1,q2,q3,q4,q5
TFR,Afghanistan,2015,-0.15099658356910273,1.1521739130434783,5.3,5.4,5.8,5.3,4.6
TFR,Albania,2017,-0.3432948900068926,1.3333333333333333,2.0,1.9,1.7,1.7,1.5
TFR,Angola,2023,-1.2974209783605886,2.607142857142857,7.3,6.7,5.0,3.4,2.8
TFR,Armenia,2016,-0.14837130160802908,1.0526315789473684,2.0,1.7,1.7,1.4,1.9
TFR,Azerbaijan,2006,-0.5353257368352328,1.4374999999999998,2.3,2.4,2.2,1.7,1.6
TFR,Bangladesh,2022,-0.3799779251160273,1.4,2.8,2.4,2.3,2.2,2.0
TFR,Benin,2017,-0.5892468595124752,1.6666666666666665,7.0,6.2,6.1,5.3,4.2
TFR,Bolivia,2008,-1.4381082177616462,3.2631578947368425,6.2,4.5,3.6,2.7,1.9
TFR,Brazil,1996,-1.213686610270619,2.823529411764706,4.8,2.7,2.1,1.9,1.7
TFR,Burkina Faso,2021,-0.680133030896354,1.7741935483870968,5.5,5.2,4.7,4.2,3.1
TFR,Burundi,2016,-0.327105704141679,1.3636363636363635,6.0,6.0,5.5,5.8,4.4
TFR,Cambodia,2021,-0.5358560299514343,1.5909090909090908,3.5,3.0,2.7,2.6,2.2
TFR,Cameroon,2022,-0.893045822480066,1.903225806451613,5.9,5.6,4.4,3.4,3.1
TFR,Central African Republic,1994,-0.03048123712835116,1.040816326530612,5.1,5.2,4.8,5.3,4.9
TFR,Chad,2014,-0.33888375699937007,1.3207547169811322,7.0,7.0,6.8,6.2,5.3
TFR,Colombia,2015,-0.9809771601271362,2.1538461538461537,2.8,2.3,1.9,1.5,1.3
TFR,Comoros,2012,-0.8149787622746449,1.9705882352941178,6.7,4.6,4.2,3.5,3.4
TFR,Congo,2011,-0.809559981057474,1.842105263157895,7.0,6.1,4.9,4.1,3.8
TFR,Congo Democratic Republic,2023,-0.7465330700462006,1.9166666666666667,6.9,6.3,6.0,5.2,3.6
TFR,Cote d'Ivoire,2021,-0.8838119882749167,1.9666666666666668,5.9,5.3,4.4,3.5,3.0
TFR,Dominican Republic,2013,-0.8047918478273547,1.842105263157895,3.5,2.8,2.5,1.9,1.9
TFR,Egypt,2014,-0.265399866764254,1.2857142857142858,3.6,3.6,3.9,3.5,2.8
TFR,Eritrea,2002,-0.8465180317913804,2.066666666666667,6.2,5.6,5.2,4.4,3.0
TFR,Eswatini,2006,-0.9569943691918215,2.1153846153846154,5.5,5.0,3.9,3.3,2.6
TFR,Ethiopia,2024,-0.7360694317423828,1.9655172413793105,5.7,4.4,4.2,3.9,2.9
TFR,Gabon,2019,-0.6480100833205108,1.8620689655172415,5.4,3.9,4.0,3.7,2.9
TFR,Gambia,2019,-0.7854374388498939,1.875,6.0,5.2,4.6,3.8,3.2
