country,age_group_lb,national_nMx,Q1 poorest,Q2,Q3,Q4,Q5 richest
Ethiopia,0,0.034512,0.041953,0.037850,0.034149,0.030810,0.027797
Ethiopia,1,0.003190,0.004533,0.003732,0.003072,0.002529,0.002082
Ethiopia,5,0.001970,0.002702,0.002273,0.001913,0.001610,0.001354
Ethiopia,10,0.001281,0.001715,0.001464,0.001250,0.001067,0.000911
Ethiopia,15,0.001960,0.002580,0.002224,0.001917,0.001653,0.001425
Ethiopia,20,0.002782,0.003653,0.003154,0.002723,0.002351,0.002029
Ethiopia,25,0.002986,0.003921,0.003385,0.002923,0.002523,0.002178
Ethiopia,30,0.003255,0.004274,0.003690,0.003186,0.002751,0.002375
Ethiopia,35,0.003718,0.004854,0.004205,0.003643,0.003156,0.002734
Ethiopia,40,0.004807,0.006201,0.005409,0.004719,0.004116,0.003591
Ethiopia,45,0.006027,0.007659,0.006739,0.005930,0.005217,0.004591
Ethiopia,50,0.008729,0.010842,0.009664,0.008614,0.007678,0.006844
Ethiopia,55,0.011672,0.014110,0.012770,0.011557,0.010459,0.009466
Ethiopia,60,0.018045,0.021111,0.019453,0.017924,0.016516,0.015219
Ethiopia,65,0.028536,0.032301,0.030298,0.028420,0.026658,0.025005
Ethiopia,70,0.045936,0.050483,0.048100,0.045829,0.043665,0.041604
Ethiopia,75,0.074212,0.079380,0.076707,0.074125,0.071629,0.069218
Ethiopia,80,0.120889,0.126518,0.123639,0.120825,0.118074,0.115387
Ethiopia,85,0.193677,0.198960,0.196283,0.193641,0.191035,0.188464
Ethiopia,90,0.299108,0.303237,0.301158,0.299094,0.297044,0.295007
Ethiopia,95,0.441275,0.443330,0.442300,0.441273,0.440248,0.439225
Ethiopia,100,0.595418,0.595418,0.595418,0.595418,0.595418,0.595418
Indonesia,0,0.017734,0.023274,0.020099,0.017358,0.014991,0.012946
Indonesia,1,0.000897,0.001361,0.001075,0.000849,0.000671,0.000530
Indonesia,5,0.000475,0.000623,0.000538,0.000465,0.000402,0.000347
Indonesia,10,0.000446,0.000528,0.000484,0.000443,0.000405,0.000371
Indonesia,15,0.001014,0.001113,0.001061,0.001011,0.000964,0.000919
Indonesia,20,0.001356,0.001470,0.001411,0.001354,0.001299,0.001246
Indonesia,25,0.001469,0.001593,0.001528,0.001466,0.001407,0.001350
Indonesia,30,0.001774,0.001924,0.001846,0.001771,0.001699,0.001630
Indonesia,35,0.002429,0.002634,0.002527,0.002424,0.002326,0.002232
Indonesia,40,0.003561,0.003862,0.003706,0.003555,0.003411,0.003273
Indonesia,45,0.005541,0.006005,0.005764,0.005532,0.005310,0.005097
Indonesia,50,0.008597,0.009270,0.008921,0.008585,0.008261,0.007950
Indonesia,55,0.013335,0.014270,0.013786,0.013319,0.012867,0.012431
Indonesia,60,0.020781,0.021894,0.021323,0.020767,0.020225,0.019697
Indonesia,65,0.032625,0.033859,0.033230,0.032613,0.032008,0.031413
Indonesia,70,0.051629,0.053152,0.052379,0.051618,0.050867,0.050128
Indonesia,75,0.081701,0.083575,0.082627,0.081690,0.080764,0.079848
Indonesia,80,0.128229,0.130313,0.129262,0.128221,0.127187,0.126162
Indonesia,85,0.200412,0.202309,0.201356,0.200408,0.199464,0.198524
